"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Interarch Building Products Limited","EQ","-","INTERARCH","19-AUG-2024","21-AUG-2024","Rs.850 to Rs.900","-"
"Forcas Studio Limited","SME","-","FORCAS","19-AUG-2024","21-AUG-2024","Rs.77 to Rs.80","-"
"Brace Port Logistics Limited","SME","-","BRACEPORT","19-AUG-2024","21-AUG-2024","Rs.76 to Rs.80","-"
"Solve Plastic Products Limited","SME","91","BALCO","13-AUG-2024","16-AUG-2024","Rs.91","21-AUG-2024"
"Saraswati Saree Depot Limited","BE","   160","SSDL","12-AUG-2024","14-AUG-2024","Rs.152 to Rs.160","20-AUG-2024"
"Sunlite Recycling Industries Limited","SME","105","SUNLITE","12-AUG-2024","14-AUG-2024","Rs.100 to Rs.105","20-AUG-2024"
"Positron Energy Limited","SME","250","POSITRON","12-AUG-2024","14-AUG-2024","Rs.238 to Rs.250","20-AUG-2024"
"Aesthetik Engineers Limited","SME","58","AESTHETIK","08-AUG-2024","12-AUG-2024","Rs.55 to Rs.58","16-AUG-2024"
"Brainbees Solutions Limited","EQ","   465","FIRSTCRY","06-AUG-2024","08-AUG-2024","Rs.440 to Rs.465","13-AUG-2024"
"Unicommerce eSolutions Limited","EQ","   108","UNIECOM","06-AUG-2024","08-AUG-2024","Rs.102 to Rs.108","13-AUG-2024"
"Ola Electric Mobility Limited","EQ","    76","OLAELEC","02-AUG-2024","06-AUG-2024","Rs.72 to Rs.76","09-AUG-2024"
"Picturepost Studios Limited","SME","24","PPSL","02-AUG-2024","06-AUG-2024","Rs.22 to Rs.24","09-AUG-2024"
"Ceigall India Limited","EQ","   401","CEIGALL","01-AUG-2024","05-AUG-2024","Rs.380 to Rs.401","08-AUG-2024"
"Dhariwalcorp Limited","SME","106","DHARIWAL","01-AUG-2024","05-AUG-2024","Rs.102 to Rs.106","08-AUG-2024"
"Utssav CZ Gold Jewels Limited","SME","110","UTSSAV","31-JUL-2024","02-AUG-2024","Rs.104 to Rs.110","07-AUG-2024"
"Akums Drugs and Pharmaceuticals Limited","EQ","   679","AKUMS","30-JUL-2024","01-AUG-2024","Rs.646 to Rs.679","06-AUG-2024"
"Ashapura Logistics Limited","SME","144","ASHALOG","30-JUL-2024","01-AUG-2024","Rs.136 to Rs.144","06-AUG-2024"
"Sathlokhar Synergys E&C Global Limited","SME","140","SSEGL","30-JUL-2024","01-AUG-2024","Rs.133 to Rs.140","06-AUG-2024"
"Bulkcorp International Limited","SME","105","BULKCORP","30-JUL-2024","01-AUG-2024","Rs.100 to Rs.105","06-AUG-2024"
"Rajputana Industries Limited","SME","38","RAJINDLTD","30-JUL-2024","01-AUG-2024","Rs.36 to Rs.38","06-AUG-2024"
"Esprit Stones Limited","SME","87","ESPRIT","26-JUL-2024","30-JUL-2024","Rs.82 to Rs.87","02-AUG-2024"
"S A Tech Software India Limited","SME","59","SATECH","26-JUL-2024","30-JUL-2024","Rs.56 to Rs.59","02-AUG-2024"
"Trom Industries Limited","SME","115","TROM","25-JUL-2024","29-JUL-2024","Rs.110 to Rs.115","01-AUG-2024"
"Aprameya Engineering Limited","SME","58","APRAMEYA","25-JUL-2024","29-JUL-2024","Rs.56 to Rs.58","01-AUG-2024"
"Manglam Infra and Engineering Limited","SME","56","MIEL","24-JUL-2024","26-JUL-2024","Rs.53 to Rs.56","31-JUL-2024"
"Chetana Education Limited","SME","85","CHETANA","24-JUL-2024","26-JUL-2024","Rs.80 to Rs.85","31-JUL-2024"
