Symbol,Source
reliance,nse
tcs,nse
hdfcbank,nse
icicibank,nse
bhartiartl,nse
sbin,nse
infy,nse
lici,nse
itc,nse
hindunilvr,nse
lt,nse
bajfinance,nse
hcltech,nse
maruti,nse
sunpharma,nse
adanient,nse
kotakbank,nse
titan,nse
ongc,nse
tatamotors,nse
ntpc,nse
axisbank,nse
dmart,nse
adanigreen,nse
adaniports,nse
ultracemco,nse
asianpaint,nse
coalindia,nse
bajajfinsv,nse
bajaj-auto,nse
powergrid,nse
nestleind,nse
wipro,nse
m&m,nse
ioc,nse
jiofin,nse
hal,nse
dlf,nse
adanipower,nse
jswsteel,nse
tatasteel,nse
siemens,nse
irfc,nse
vbl,nse
zomato,nse
pidilitind,nse
grasim,nse
sbilife,nse
bel,nse
ltim,nse
trent,nse
pnb,nse
indigo,nse
bankbaroda,nse
hdfclife,nse
abb,nse
bpcl,nse
pfc,nse
godrejcp,nse
tatapower,nse
hindalco,nse
hindzinc,nse
techm,nse
ambujacem,nse
indusindbk,nse
cipla,nse
gail,nse
recltd,nse
britannia,nse
unionbank,nse
adaniensol,nse
iob,nse
lodha,nse
eichermot,nse
canbk,nse
tataconsum,nse
drreddy,nse
tvsmotor,nse
zyduslife,nse
atgl,nse
vedl,nse
cholafin,nse
havells,nse
heromotoco,nse
dabur,nse
shreecem,nse
mankind,nse
bajajhldng,nse
divislab,nse
apollohosp,nse
nhpc,nse
shriramfin,nse
boschltd,nse
torntpharm,nse
icicipruli,nse
idbi,nse
jswenergy,nse
jindalstel,nse
bhel,nse
indhotel,nse
cumminsind,nse
icicigi,nse
cgpower,nse
mcdowell-n,nse
hdfcamc,nse
maxhealth,nse
solarinds,nse
motherson,nse
industower,nse
polycab,nse
ofss,nse
srf,nse
irctc,nse
colpal,nse
lupin,nse
naukri,nse
tiindia,nse
indianb,nse
hindpetro,nse
bergepaint,nse
yesbank,nse
torntpower,nse
oil,nse
sbicard,nse
idea,nse
marico,nse
godrejprop,nse
auropharma,nse
ucobank,nse
bankindia,nse
persistent,nse
muthootfin,nse
nmdc,nse
alkem,nse
piind,nse
ltts,nse
gicre,nse
tatacomm,nse
jsl,nse
mrf,nse
sail,nse
pghh,nse
suzlon,nse
lindeindia,nse
supremeind,nse
concor,nse
oberoirlty,nse
astral,nse
idfcfirstb,nse
rvnl,nse
bharatforg,nse
centralbk,nse
jswinfra,nse
policybzr,nse
ashokley,nse
thermax,nse
phoenixltd,nse
gmrinfra,nse
tataelxsi,nse
patanjali,nse
sjvn,nse
prestige,nse
acc,nse
nykaa,nse
sundarmfin,nse
ubl,nse
abcapital,nse
mphasis,nse
balkrisind,nse
dixon,nse
mahabank,nse
kalyankjil,nse
schaeffler,nse
awl,nse
aplapollo,nse
tatatech,nse
sonacoms,nse
kpittech,nse
fact,nse
psb,nse
petronet,nse
l&tfh,nse
unominda,nse
pageind,nse
mrpl,nse
aubank,nse
mazdock,nse
hudco,nse
gujgasltd,nse
niacl,nse
crisil,nse
aiaeng,nse
federalbnk,nse
ireda,nse
voltas,nse
dalbharat,nse
poonawalla,nse
medanta,nse
irb,nse
3mindia,nse
mfsl,nse
m&mfin,nse
upl,nse
honaut,nse
bse,nse
fluorochem,nse
coforge,nse
lichsgfin,nse
glaxo,nse
delhivery,nse
bdl,nse
starhealth,nse
fortis,nse
biocon,nse
coromandel,nse
nlcindia,nse
tatainvest,nse
jkcement,nse
ipcalab,nse
metrobrand,nse
kei,nse
escorts,nse
lloydsme,nse
gland,nse
igl,nse
nam-india,nse
apollotyre,nse
jublfood,nse
powerindia,nse
msumi,nse
bandhanbnk,nse
deepakntr,nse
zfcvindia,nse
ajantpharm,nse
kprmill,nse
syngene,nse
eihotel,nse
aparinds,nse
nationalum,nse
tatachem,nse
glenmark,nse
hindcopper,nse
godrejind,nse
nh,nse
bluestarco,nse
exideind,nse
endurance,nse
jbchepharm,nse
paytm,nse
angelone,nse
motilalofs,nse
iti,nse
360one,nse
carboruniv,nse
aartiind,nse
suntv,nse
kiocl,nse
isec,nse
radico,nse
sundrmfast,nse
creditacc,nse
cochinship,nse
hatsun,nse
manyavar,nse
cyient,nse
get&d,nse
brigade,nse
timken,nse
nbcc,nse
jbma,nse
gillette,nse
kansainer,nse
lauruslabs,nse
grindwell,nse
fivestar,nse
swanenergy,nse
cholahldng,nse
ircon,nse
skfindia,nse
bsoft,nse
asterdm,nse
relaxo,nse
sonatsoftw,nse
gspl,nse
ratnamani,nse
abfrl,nse
aplltd,nse
pfizer,nse
ramcocem,nse
signature,nse
pel,nse
elgiequip,nse
lalpathlab,nse
emamiltd,nse
sanofi,nse
jyoticnc,nse
trident,nse
castrolind,nse
